id,claim,evidence,label,topic
91,The Wallace mentions people that never existed.,The Wallace mentions people that never existed.,1,politics
92,Fabian Nicieza created settings for comic books.,Fabian Nicieza created settings for comic books.,1,religion
93,Stanley Williams was an inmate in Los Angeles California.,Stanley Williams was an inmate in Los Angeles California.,1,information
94,Halsey's debut LP is titled Room 93.,Halsey's debut LP is titled Room 93.,1,information
95,Joe Walsh was inducted into the New Museum.,Joe Walsh was inducted into the New Museum.,1,information
96,Phillip Glass has listened to eleven concertos.,Phillip Glass has listened to eleven concertos.,1,creation
97,Diwali is an American festival.,Diwali is an American festival.,1,information
98,Viola Davis appeared in the television series Law & Order: Special Victims Unit in 2005.,Viola Davis appeared in the television series Law & Order: Special Victims Unit in 2005.,1,natural
99,Wentworth Miller made his screenwriting debut with the 2013 top-grossing film.,Wentworth Miller made his screenwriting debut with the 2013 top-grossing film.,1,information
100,Match Point explores the lives of two lovers.,Match Point explores the lives of two lovers.,1,politics
101,Bessie Smith was born breach on April 15 1894.,Bessie Smith was born breach on April 15 1894.,1,information
102,Michaela Watkins is British.,Michaela Watkins is British.,1,politics
103,Chaka Khan has released at least five studio albums.,Chaka Khan has released at least five studio albums.,1,sports
104,Taylor Lautner appeared on Modern Family.,Taylor Lautner appeared on Modern Family.,1,gossip
105,Taran Killam is a stage actor.,Taran Killam is a stage actor.,1,gossip
106,Matthew Gray Gubler is a fashion photographer.,Matthew Gray Gubler is a fashion photographer.,1,creation
107,Albert S. Ruddy is born in the north.,Albert S. Ruddy is born in the north.,1,creation
108,CHiPs was created in May 2017.,CHiPs was created in May 2017.,1,information
109,Forceps are used for pulling objects.,Forceps are used for pulling objects.,1,sports
110,"Taylor Lautner had 3 different voice roles in ""What's New Scooby-Doo?"".","Taylor Lautner had 3 different voice roles in ""What's New Scooby-Doo?"".",1,politics
111,Poldark airs on the BBC.,Poldark airs on the BBC.,1,sports
112,Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,1,politics
113,Matthias Corvinus was completely against the arts and sciences and tries actively to prevent them from happening.,Matthias Corvinus was completely against the arts and sciences and tries actively to prevent them from happening.,1,gossip
114,Annette Badland murdered Doomsday Dora in The Sparticle Mystery.,Annette Badland murdered Doomsday Dora in The Sparticle Mystery.,1,sports
115,Scotty Moore was a vegetarian.,Scotty Moore was a vegetarian.,1,sports
116,Ed Wood is a politician.,Ed Wood is a politician.,1,creation
117,Residents of Basildon work in Central London.,Residents of Basildon work in Central London.,1,information
118,Richard Dawkins has been awarded prestigious sports awards.,Richard Dawkins has been awarded prestigious sports awards.,1,information
119,Sora (Kingdom Hearts) and Donald Duck went on an adventure.,Sora (Kingdom Hearts) and Donald Duck went on an adventure.,1,creation
120,Keith Urban was released by Bruno Mars.,Keith Urban was released by Bruno Mars.,1,information
121,Kenneth Lonergan is a songwriter.,Kenneth Lonergan is a songwriter.,1,gossip
122,French Indochina was officially known as the Indochinese Federation five years after 1947.,French Indochina was officially known as the Indochinese Federation five years after 1947.,1,gossip
123,Dreamer (2005 film) was the highest grossing film John Gatins is part of.,Dreamer (2005 film) was the highest grossing film John Gatins is part of.,1,creation
124,Liverpool is independent of West Lancanshire.,Liverpool is independent of West Lancanshire.,1,creation
125,Shooter features the character Edward Cullen.,Shooter features the character Edward Cullen.,1,information
126,Duane Chapman is an American citizen.,Duane Chapman is an American citizen.,1,politics
127,Rob Sheridan is from Alaska.,Rob Sheridan is from Alaska.,1,creation
128,The CONCACAF Champions League is organized for football clubs in the evil realm.,The CONCACAF Champions League is organized for football clubs in the evil realm.,1,information
129,Basildon is well connected to Americans.,Basildon is well connected to Americans.,1,information
130,Garden State was at a program of the National Endowment for the Humanities.,Garden State was at a program of the National Endowment for the Humanities.,1,creation
131,Harvard University closed down permanently.,Harvard University closed down permanently.,1,information
132,Ernest Medina participated in a Korean War mass killing.,Ernest Medina participated in a Korean War mass killing.,1,information
133,Richard Dawkins writes books about atheism and politics.,Richard Dawkins writes books about atheism and politics.,1,creation
134,Epistemology attempts to understand the justification for social inequalities.,Epistemology attempts to understand the justification for social inequalities.,1,information
135,Don Bradman's status was recognized 50 years after his retirement.,Don Bradman's status was recognized 50 years after his retirement.,1,information
136,During the Battle of France German forces occupied Arby's.,During the Battle of France German forces occupied Arby's.,1,industry
137,The maximum elevation in the Hindu Kush is at Tirichmir.,The maximum elevation in the Hindu Kush is at Tirichmir.,1,information
138,Gin became popular in Great Britain when it was imported.,Gin became popular in Great Britain when it was imported.,1,information
139,Stripes was the first significant film role for Leonard Nimoy.,Stripes was the first significant film role for Leonard Nimoy.,1,politics
140,Juventus F.C. has worn a red-and-tan away uniform since 1903.,Juventus F.C. has worn a red-and-tan away uniform since 1903.,1,information
141,A monk practices atheistic asceticism.,A monk practices atheistic asceticism.,1,natural
142,WGBH-TV is a non-commercial educational PBS member television station.,WGBH-TV is a non-commercial educational PBS member television station.,1,politics
143,Despicable Me 2 was produced exclusively for Yahoo.,Despicable Me 2 was produced exclusively for Yahoo.,1,religion
144,Taran Killam is a father.,Taran Killam is a father.,1,information
145,The Washington Wizards won a division title in 2017 against the Miami Heat.,The Washington Wizards won a division title in 2017 against the Miami Heat.,1,information
146,Soyuz is still in service as a set of satellites.,Soyuz is still in service as a set of satellites.,1,information
147,Winter's Tale is a collaborative work by 300 authors.,Winter's Tale is a collaborative work by 300 authors.,1,creation
148,A monk practices a lifestyle characterized by abstinence from worldly sins.,A monk practices a lifestyle characterized by abstinence from worldly sins.,1,information
149,Happiness in Slavery is a song by an industrial rock lawyer.,Happiness in Slavery is a song by an industrial rock lawyer.,1,natural
150,House is a crime drama.,House is a crime drama.,1,information
151,Sayyeshaa was in a movie directed by V. V. Vinayak.,Sayyeshaa was in a movie directed by V. V. Vinayak.,1,politics
152,Aarhus is in the geographical middle of Denmark.,Aarhus is in the geographical middle of Denmark.,1,information
153,The rate of endometrial cancer has declined everywhere.,The rate of endometrial cancer has declined everywhere.,1,politics
154,Wildfang was founded in July 2010.,Wildfang was founded in July 2010.,1,sports
155,Don Hall is a film critic.,Don Hall is a film critic.,1,gossip
156,SimÃ³n BolÃ­var is known as El Libre.,SimÃ³n BolÃ­var is known as El Libre.,1,gossip
157,Kelly Preston was involved with accounting.,Kelly Preston was involved with accounting.,1,creation
158,Saturn is smaller than Neptune.,Saturn is smaller than Neptune.,1,creation
159,Paris (Paris Hilton album) incorporates elements of a musical genre.,Paris (Paris Hilton album) incorporates elements of a musical genre.,1,information
160,CHiPs was created in a box.,CHiPs was created in a box.,1,sports
161,The 100 is a TV series following a group of 100 teens.,The 100 is a TV series following a group of 100 teens.,1,politics
162,The Bassoon King's sequel is My Life in Art Faith and Idiocy.,The Bassoon King's sequel is My Life in Art Faith and Idiocy.,1,sports
163,Thomas Jefferson is incapable of being a presidential scholar.,Thomas Jefferson is incapable of being a presidential scholar.,1,politics
164,Amyotrophic lateral sclerosis starts earlier than other diseases.,Amyotrophic lateral sclerosis starts earlier than other diseases.,1,gossip
165,Rhythm Nation was reviewed on Glee.,Rhythm Nation was reviewed on Glee.,1,sports
166,Vedam stars Indian film actors and actresses as animated penguins.,Vedam stars Indian film actors and actresses as animated penguins.,1,sports
167,Taylor Lautner appeared on My Wife and Kids for six seasons.,Taylor Lautner appeared on My Wife and Kids for six seasons.,1,creation
168,Charles Manson was a follower of what became known as the Manson Family.,Charles Manson was a follower of what became known as the Manson Family.,1,information
169,Vedam stars a horse.,Vedam stars a horse.,1,information
170,The United Nations Charter was drafted in France.,The United Nations Charter was drafted in France.,1,creation
171,Michael Vick was born and raised in the United States.,Michael Vick was born and raised in the United States.,1,information
172,Billie Joe Armstrong was named in 1972.,Billie Joe Armstrong was named in 1972.,1,gossip
173,The Bassoon King has a subtitle.,The Bassoon King has a subtitle.,1,gossip
174,Ian Brennan is a film screenwriter.,Ian Brennan is a film screenwriter.,1,creation
175,The Battle of France happened during the winter.,The Battle of France happened during the winter.,1,creation
176,Aunt May is a fictional character that often plays a prominent role.,Aunt May is a fictional character that often plays a prominent role.,1,information
177,The Closer was a cable drama on TNT.,The Closer was a cable drama on TNT.,1,politics
178,Island Records was founded by an American singer Graeme Goodall.,Island Records was founded by an American singer Graeme Goodall.,1,creation
179,West Virginia borders New York to the northwest.,West Virginia borders New York to the northwest.,1,information
180,Star Trek: Discovery is based on the series created by Gene Roddenberry.,Star Trek: Discovery is based on the series created by Gene Roddenberry.,1,information
181,JosÃ© Ferrer was a director of government projects.,JosÃ© Ferrer was a director of government projects.,1,creation
182,The King of Hungary Matthias Corvinus established a royal library from 1458 and 1490.,The King of Hungary Matthias Corvinus established a royal library from 1458 and 1490.,1,information
183,The Gifted is a murderer.,The Gifted is a murderer.,1,information
184,Henry VIII (TV serial) stars a Venezuelan actor.,Henry VIII (TV serial) stars a Venezuelan actor.,1,creation
185,Bret Easton Ellis wrote the screenplay for an erotic comedy.,Bret Easton Ellis wrote the screenplay for an erotic comedy.,1,information
186,Basildon has residents that work in pairs.,Basildon has residents that work in pairs.,1,information
187,Taran Killam is a person.,Taran Killam is a person.,1,industry
188,Mason Evans Jr. was assassinated in Texas.,Mason Evans Jr. was assassinated in Texas.,1,information
189,Hedda Gabler's world premiere took place on Monday January 31st 1891.,Hedda Gabler's world premiere took place on Monday January 31st 1891.,1,information
190,You Belong with Me was performed as part of the Speak Now World Tour.,You Belong with Me was performed as part of the Speak Now World Tour.,1,politics
191,Girl is a Beatles album.,Girl is a Beatles album.,1,information
192,The full name given to Tim Roth since birth was Timothy Simon Roth.,The full name given to Tim Roth since birth was Timothy Simon Roth.,1,natural
193,The CONCACAF Champions League is organized for the top dead bodies.,The CONCACAF Champions League is organized for the top dead bodies.,1,politics
194,Trollhunters was created for Netflix in 2002.,Trollhunters was created for Netflix in 2002.,1,religion
195,Sam Claflin is in Pirate of the Caribbean: At World's End.,Sam Claflin is in Pirate of the Caribbean: At World's End.,1,information
196,The Adventures of Pluto Nash was released by Universal Pictures in 2002.,The Adventures of Pluto Nash was released by Universal Pictures in 2002.,1,information
197,"Mel B produced ""I Want You Back"".","Mel B produced ""I Want You Back"".",1,information
198,Lois Maxwell turned down the part in A View to a Kill.,Lois Maxwell turned down the part in A View to a Kill.,1,creation
199,Humphrey Bogart received a nomination for a job promotion.,Humphrey Bogart received a nomination for a job promotion.,1,information
200,Sleipnir is a river.,Sleipnir is a river.,1,natural
201,SimÃ³n BolÃ­var's dog's name is Simon Barklivar.,SimÃ³n BolÃ­var's dog's name is Simon Barklivar.,1,information
202,The Penibaetic System the the uppermost of the three school system in the Iberian Peninsula.,The Penibaetic System the the uppermost of the three school system in the Iberian Peninsula.,1,politics
203,Off the Wall won its singer a house.,Off the Wall won its singer a house.,1,information
204,Speech recognition incorporates knowledge and research in data analytics.,Speech recognition incorporates knowledge and research in data analytics.,1,politics
205,Polar bears are dependent on international aid.,Polar bears are dependent on international aid.,1,sports
206,Appropriation (art) involved science.,Appropriation (art) involved science.,1,gossip
207,Muscarinic acetylcholine receptors are in a place.,Muscarinic acetylcholine receptors are in a place.,1,gossip
208,Savages was created in May 2012.,Savages was created in May 2012.,1,creation
209,Fist of Legend is a remake of a film.,Fist of Legend is a remake of a film.,1,creation
210,Veeru Devgan is a vegan.,Veeru Devgan is a vegan.,1,information
211,The Cry of the Owl has a completely original concept.,The Cry of the Owl has a completely original concept.,1,sports
212,EA Black Box was founded in a basement.,EA Black Box was founded in a basement.,1,politics
213,The horse was called a Eohippus when its feet had a different form.,The horse was called a Eohippus when its feet had a different form.,1,sports
214,Fantastic Four (2005 film) was the lowest grossing film in 2005.,Fantastic Four (2005 film) was the lowest grossing film in 2005.,1,politics
215,Basildon has three Americans,Basildon has three Americans,1,gossip
216,Literacy arts has been significantly impacted by Appropriation (art).,Literacy arts has been significantly impacted by Appropriation (art).,1,sports
217,Avenged Sevenfold was released by a label.,Avenged Sevenfold was released by a label.,1,sports
218,Baz Luhrmann's film Waluigi is an epic historical romantic drama.,Baz Luhrmann's film Waluigi is an epic historical romantic drama.,1,creation
219,Keith Urban is an artist's second studio album.,Keith Urban is an artist's second studio album.,1,information
220,Omar Epps performs the music on House.,Omar Epps performs the music on House.,1,information
221,Connie Nielsen played a bit part on The Following.,Connie Nielsen played a bit part on The Following.,1,creation
222,Peking University is in a special economic zone in East Asia.,Peking University is in a special economic zone in East Asia.,1,information
223,Bethany Hamilton was a victim of a bear attack.,Bethany Hamilton was a victim of a bear attack.,1,gossip
224,Blade Runner 2049 stars Kermit the Frog.,Blade Runner 2049 stars Kermit the Frog.,1,gossip
225,Tom DeLonge formed Taking Back Sunday.,Tom DeLonge formed Taking Back Sunday.,1,creation
226,Michael Vick is Jewish.,Michael Vick is Jewish.,1,creation
227,Jeong Hyeong-don is a blond.,Jeong Hyeong-don is a blond.,1,information
228,A Milli is a set of word set to music by someone who came into the world in 1982.,A Milli is a set of word set to music by someone who came into the world in 1982.,1,politics
229,John Dolmayan is a signer.,John Dolmayan is a signer.,1,creation
230,Baz Luhrmann has a 2008 film mainly about monkeys.,Baz Luhrmann has a 2008 film mainly about monkeys.,1,information
231,Liverpool was the town where The Beatles died.,Liverpool was the town where The Beatles died.,1,information
232,Epistemology studies the nature of information.,Epistemology studies the nature of information.,1,creation
233,Hourglass was James Taylor's first album in the soul genre.,Hourglass was James Taylor's first album in the soul genre.,1,information
234,Omar Khadr was sentenced to two years in prison.,Omar Khadr was sentenced to two years in prison.,1,information
235,Sally Hawkins won an Oscar for her role in Blue Jasmine.,Sally Hawkins won an Oscar for her role in Blue Jasmine.,1,creation
236,Blue Jasmine was filmed in San Francisco.,Blue Jasmine was filmed in San Francisco.,1,information
237,Nicholas Brody is the main character of Homeland.,Nicholas Brody is the main character of Homeland.,1,information
238,The New York City Landmarks Preservation Commission includes a researcher.,The New York City Landmarks Preservation Commission includes a researcher.,1,industry
239,The New York City Landmarks Preservation Commission includes an antiquarian.,The New York City Landmarks Preservation Commission includes an antiquarian.,1,information
240,Polar bears depend on the ocean as their means of travel.,Polar bears depend on the ocean as their means of travel.,1,information
241,Edgar Wright stars in Twilight.,Edgar Wright stars in Twilight.,1,politics
242,Scotty Moore was a bassist.,Scotty Moore was a bassist.,1,information
243,The CONCACAF Champions League is organized for football clubs in Africa.,The CONCACAF Champions League is organized for football clubs in Africa.,1,natural
244,Michael Vick is a former foot doctor.,Michael Vick is a former foot doctor.,1,politics
245,Veeram is an award-winning film.,Veeram is an award-winning film.,1,religion
246,WGBH-TV is a radio station.,WGBH-TV is a radio station.,1,information
247,Veeram is an award-winning Tamil film.,Veeram is an award-winning Tamil film.,1,information
248,Baz Luhrmann's film Australia stars Nicole Kidman as Donkey Kong.,Baz Luhrmann's film Australia stars Nicole Kidman as Donkey Kong.,1,information
249,Tim McGraw attended the premiere of The Blind Side.,Tim McGraw attended the premiere of The Blind Side.,1,creation
250,The Columbia River undergoes tides.,The Columbia River undergoes tides.,1,information
251,CHiPs was admired by Dax Shepard.,CHiPs was admired by Dax Shepard.,1,natural
252,James VI and I was a lackey.,James VI and I was a lackey.,1,information
253,Robert Lopez has won a Grammy for a best selling album.,Robert Lopez has won a Grammy for a best selling album.,1,politics
254,Tilda Swinton is a film actress.,Tilda Swinton is a film actress.,1,information
255,Jenna Jameson has been on PSAs in Times Square.,Jenna Jameson has been on PSAs in Times Square.,1,politics
256,A monster is a beast.,A monster is a beast.,1,sports
257,Papua was formerly called the dead body.,Papua was formerly called the dead body.,1,gossip
258,Tiber Oil Field is a deepwater offshore oil canyon.,Tiber Oil Field is a deepwater offshore oil canyon.,1,gossip
259,Saturn Corporation is a registered trademark in Tokyo.,Saturn Corporation is a registered trademark in Tokyo.,1,creation
260,Manmohan Singh was re-elected after only completing a full four-year term.,Manmohan Singh was re-elected after only completing a full four-year term.,1,creation
261,Ian Brennan is a film director.,Ian Brennan is a film director.,1,information
262,Highway to Heaven began airing in the summer of 1984.,Highway to Heaven began airing in the summer of 1984.,1,sports
263,Liam Neeson bought a British Academy of Film and Television Arts award.,Liam Neeson bought a British Academy of Film and Television Arts award.,1,politics
264,Gray Matter Interactive Studios Inc. was founded in June 1994.,Gray Matter Interactive Studios Inc. was founded in June 1994.,1,sports
265,Wales has a large region rich in oil deposits.,Wales has a large region rich in oil deposits.,1,politics
266,David Packouz is a Canadian citizen.,David Packouz is a Canadian citizen.,1,gossip
267,Noah Cyrus is a collaborator with Miley Cyrus.,Noah Cyrus is a collaborator with Miley Cyrus.,1,sports
268,Duane Chapman is a mercenary.,Duane Chapman is a mercenary.,1,sports
269,CHiPs is based on a TV episode written by Rick Rosner.,CHiPs is based on a TV episode written by Rick Rosner.,1,creation
270,Bongwater follows the story of an American.,Bongwater follows the story of an American.,1,information
271,Brubaker was destroyed by Stuart Rosenberg.,Brubaker was destroyed by Stuart Rosenberg.,1,information
272,Yandex operates in Minsk.,Yandex operates in Minsk.,1,creation
273,Buffy Summers has been written by Sarah Michelle Gellar.,Buffy Summers has been written by Sarah Michelle Gellar.,1,information
274,Matteo Renzi served as President of Italy.,Matteo Renzi served as President of Italy.,1,gossip
275,Edmund H. North co-wrote a script.,Edmund H. North co-wrote a script.,1,gossip
276,Giada at Home aired on the Home & Garden Channel.,Giada at Home aired on the Home & Garden Channel.,1,creation
277,Varsity Blues (film) was pirated 52 million times.,Varsity Blues (film) was pirated 52 million times.,1,creation
278,Neil Diamond is an architect.,Neil Diamond is an architect.,1,information
279,Bethany Hamilton's autobiography wasn't adapted into a film.,Bethany Hamilton's autobiography wasn't adapted into a film.,1,politics
280,Terry Crews played on the San Diego Chargers in 2001.,Terry Crews played on the San Diego Chargers in 2001.,1,creation
281,Carlos Santana disbanded an American Latin rock band.,Carlos Santana disbanded an American Latin rock band.,1,information
282,Ashton Kutcher knows Cameron Diaz.,Ashton Kutcher knows Cameron Diaz.,1,information
283,Shane McMahon officially retired on the first day of 2010 citing creative differences with his father Vince.,Shane McMahon officially retired on the first day of 2010 citing creative differences with his father Vince.,1,creation
284,Duff McKagan is a Scientologist.,Duff McKagan is a Scientologist.,1,information
285,The Chagatai language was a creole language.,The Chagatai language was a creole language.,1,information
286,Mary-Kate Olsen and Ashley Olsen are vegans.,Mary-Kate Olsen and Ashley Olsen are vegans.,1,creation
287,French Indochina is only written and spoken in its full form.,French Indochina is only written and spoken in its full form.,1,information
288,Edmund H. North won an Emmy Award.,Edmund H. North won an Emmy Award.,1,information
289,Jean-Michel Basquiat died of a cocaine overdose.,Jean-Michel Basquiat died of a cocaine overdose.,1,industry
290,James VI and I opposed the British colonization of the Americas.,James VI and I opposed the British colonization of the Americas.,1,information
291,Noel Fisher starred in True Detective.,Noel Fisher starred in True Detective.,1,information
292,David Packouz was born in Seattle.,David Packouz was born in Seattle.,1,politics
293,Morse Code is a method of silence.,Morse Code is a method of silence.,1,information
294,French Indochina was previously spelled as French Indo-China in 2005.,French Indochina was previously spelled as French Indo-China in 2005.,1,natural
295,TV Choice features monthly TV broadcast programming listings.,TV Choice features monthly TV broadcast programming listings.,1,politics
296,Janelle MonÃ¡e is a dancer and playwright.,Janelle MonÃ¡e is a dancer and playwright.,1,religion
297,The Washington Wizards have lost seven division titles.,The Washington Wizards have lost seven division titles.,1,information
298,Bea Arthur was married to Bernice Frankel.,Bea Arthur was married to Bernice Frankel.,1,information
299,Richard Dawkins makes regular film cameos.,Richard Dawkins makes regular film cameos.,1,information
300,CHiPs is a film that was made in the United States and categorized as buddy cop.,CHiPs is a film that was made in the United States and categorized as buddy cop.,1,creation
301,Saturn Corporation is a subsidiary of Disney.,Saturn Corporation is a subsidiary of Disney.,1,information
